Match Up,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,"AST
Ratio",OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
"Oct 25, 2023 - BOS @ NYK",W,48,112.5,107.2,5.3,48.6,1.38,14.9,17.1,63.6,45.8,13.5,55.8,61.1,96.5,59.2
"Oct 27, 2023 - BOS vs. MIA",W,48,119,112.1,6.9,44.4,1.33,14.2,38.2,76.9,57,15,55.8,57.6,99.5,50.8
"Oct 30, 2023 - BOS @ WAS",W,48,121.2,102.9,18.3,60.8,1.72,20,38.5,74.5,56.3,17.3,59.3,60,104,55.7
"Nov 01, 2023 - BOS vs. IND",W,48,144.9,97.2,47.7,50,2.08,18.2,36.6,82.5,63.3,12.1,67.4,72.2,107,68.2
"Nov 04, 2023 - BOS @ BKN",W,48,124,114,10,51.2,2,16.1,30,74.6,54.1,11,56.1,60.9,100,57.1
"Nov 06, 2023 - BOS @ MIN",L,53,98.2,102.7,-4.5,55.6,1.11,13.4,30.5,77.6,51.9,16.2,45.1,51,100.53,45.7
"Nov 08, 2023 - BOS @ PHI",L,48,100,103.9,-3.9,77.8,2.15,19.7,21.4,72.2,46.4,12.6,47.8,51.8,102.5,48.7
"Nov 10, 2023 - BOS vs. BKN",W,48,126,109.2,16.9,70.7,3.63,20.1,33.3,76.6,52.9,8.3,53.7,56.9,97,56.7
"Nov 11, 2023 - BOS vs. TOR",W,48,121.9,95.9,26,63.8,2.31,22.4,18.6,77.6,52.5,13.5,63.4,63.8,97,60.5
"Nov 13, 2023 - BOS vs. NYK",W,48,129.5,115.3,14.3,67.5,2.45,21.6,28.2,64.6,48.3,12.5,62.7,66.2,86.5,59.8
"Nov 15, 2023 - BOS @ PHI",W,48,125.8,115.1,10.8,54.8,2.3,17.6,31.3,73.5,52.6,10.8,58,60.7,93,55.2
"Nov 17, 2023 - BOS @ TOR",W,48,110.2,106.1,4.1,69,2.64,21.2,20,80.4,49,11.2,54.3,56.3,98.5,51.4
"Nov 19, 2023 - BOS @ MEM",W,48,108.5,106.4,2.1,57.1,1.18,15.7,30.4,69,51.9,18.1,53.2,58,94,52.6
"Nov 20, 2023 - BOS @ CHA",L,53,108.3,113.1,-4.8,45.2,1.27,13.2,28.8,65.5,47,13.8,51.5,54,97.81,43.9
"Nov 22, 2023 - BOS vs. MIL",W,48,117.8,113.7,4.1,61.4,1.8,20.1,14.3,70.2,46.5,14.9,62.5,65,101.5,54.1
"Nov 24, 2023 - BOS @ ORL",L,48,96,111.9,-15.9,54.8,1.13,13.7,16.7,68.9,41.9,15,45.4,52,100.5,42.3
"Nov 26, 2023 - BOS vs. ATL",W,48,114.1,104,10.1,57.1,1.85,16.8,37.7,75,56.9,13.1,51.1,54.4,99,60.4
"Nov 28, 2023 - BOS vs. CHI",W,48,129.2,100,29.2,76.6,2.25,24.5,35.6,78.6,59.4,16.7,63.9,65.1,96.5,60.6
"Dec 01, 2023 - BOS vs. PHI",W,48,121.4,115.5,5.8,64.1,1.25,18,27.5,69.1,51.6,19.4,61,67.3,103,57.7
"Dec 04, 2023 - BOS @ IND",L,48,108.7,119.6,-10.9,58.7,1.5,18,37,84.9,60.7,17.5,53.6,54.8,102.5,46.6
"Dec 08, 2023 - BOS vs. NYK",W,48,134.3,125.5,8.8,50,3,18,22.7,62.2,42.7,8.1,63.2,66.3,98.5,53.2
"Dec 12, 2023 - BOS vs. CLE",W,48,123.7,116.5,7.2,60.5,1.53,17,34.8,72.5,54.6,15.5,56,62.9,97,55.4
"Dec 14, 2023 - BOS vs. CLE",W,48,119.6,111.5,8.1,51.2,1.69,16.7,29.5,72.7,51.1,13.4,58.2,61.8,96.5,55.2
"Dec 15, 2023 - BOS vs. ORL",W,48,129.3,113.3,16,64.6,2.82,21.7,29.2,58.3,43.8,11.1,62,63.5,98.5,58.4
"Dec 17, 2023 - BOS vs. ORL",W,48,115.2,99,16.2,40,1.29,13.7,29.4,79.3,56,14.1,56.3,57.9,98.5,58.5
"Dec 19, 2023 - BOS @ GSW",L,53,117.8,122.2,-4.5,59.6,3.5,17.7,33.8,66.7,49.2,7.5,48.7,51.9,97.36,47.4
"Dec 20, 2023 - BOS @ SAC",W,48,151.6,124,27.6,68.6,3.89,24.1,34.9,69.8,54.2,9.5,67.4,70.2,95.5,60.4
"Dec 23, 2023 - BOS @ LAC",W,48,146.5,111.3,35.1,67.3,3.3,21.9,40.4,77.1,58.9,10.1,65.4,68.2,98,63.4
"Dec 25, 2023 - BOS @ LAL",W,48,128.6,117.3,11.2,67.4,3.88,21.7,28,69.4,48.5,8.2,57.7,61,98,57.3
"Dec 28, 2023 - BOS vs. DET",W,53,118.5,111.9,6.6,52.1,2.08,17,25.9,57.1,41.8,11.1,54,58.2,98.26,53.3
"Dec 29, 2023 - BOS vs. TOR",W,48,122.4,120.4,2,67.4,1.81,20.4,34,77.8,57.4,16.3,58.5,62,98,50.9
"Dec 31, 2023 - BOS @ SAS",W,48,127.6,97.1,30.5,56.9,2.64,19.7,29.8,80.4,57.3,10.5,61.6,64,104.5,65.4
"Jan 02, 2024 - BOS @ OKC",L,48,124.2,127,-2.8,78.6,2.36,21.4,42.3,70.5,55.2,14.1,53.8,58.7,99.5,49.5
"Jan 05, 2024 - BOS vs. UTA",W,48,115.6,87.4,28.2,61.5,1.71,16.6,22.2,72.1,50,12.8,52.8,59.5,110,64.1
"Jan 06, 2024 - BOS @ IND",W,48,116.8,100,16.8,56.5,1.44,18.1,36.2,81,61,17.8,60,60,101,57
"Jan 08, 2024 - BOS @ IND",L,48,128.4,129.1,-0.7,55.3,1.73,18.1,33.3,69.6,51.1,14.7,61.7,63.7,102.5,47.8
"Jan 10, 2024 - BOS vs. MIN",W,53,122.1,115.4,6.7,53.8,2.63,15.4,21.2,80.8,51,7.7,53.9,61.3,94.19,53.5
"Jan 11, 2024 - BOS @ MIL",L,48,103,137.8,-34.7,64.7,3.67,16.4,23.7,67.5,41.4,6.1,42.3,48.9,98.5,34.8
"Jan 13, 2024 - BOS vs. HOU",W,48,135.5,104.6,30.9,51,2.17,18.1,23.4,70.5,50,11.2,66.3,68.4,107.5,60.8
"Jan 15, 2024 - BOS @ TOR",W,48,105,94.1,10.9,60.6,1.54,16,9.8,78.7,47.3,13,50,56.5,101,54.4
"Jan 17, 2024 - BOS vs. SAS",W,48,119.4,100,19.4,52.4,1.57,16.2,34,75.4,56.1,14.3,56.7,59.5,98,57.6
"Jan 19, 2024 - BOS vs. DEN",L,48,116.3,118.6,-2.3,55.3,7,17.4,26.4,68.3,44.7,3.5,50.6,52.5,86,45.8
"Jan 21, 2024 - BOS @ HOU",W,48,110.5,101.9,8.6,72.1,1.94,20,33.3,73.2,53.1,15.2,52.6,54.8,105,55.2
"Jan 22, 2024 - BOS @ DAL",W,48,119,110,9,63.4,4.33,19.3,18.4,75.4,49.1,6,55.1,58.8,100,55.1
"Jan 25, 2024 - BOS @ MIA",W,48,149,115.8,33.2,70.6,3.27,25.7,27.6,79.2,61,11.5,77.5,80.5,95.5,65
"Jan 27, 2024 - BOS vs. LAC",L,48,99,115,-16,58.3,1.91,15.2,31.3,63.8,46.7,11.3,41,44.8,98.5,39.4
"Jan 29, 2024 - BOS vs. NOP",W,48,121.6,115.5,6.2,62.8,2.45,20.3,20.9,74.5,48.9,11.3,60.6,62.9,97,53.1
"Jan 30, 2024 - BOS vs. IND",W,48,130.3,125.3,5.1,53.2,2.08,18.7,22.7,60,44.2,12.1,63.8,66.7,99,53.4
"Feb 01, 2024 - BOS vs. LAL",L,48,106.1,115.2,-9.1,73.2,2,20.4,32.1,72.9,53,15.2,50.5,52.5,99,45.4
"Feb 04, 2024 - BOS vs. MEM",W,48,128.4,89.2,39.2,62.5,2.73,20,36.5,70.7,54.5,10.8,58.1,61.3,102,70.8
"Feb 07, 2024 - BOS vs. ATL",W,48,119,110.4,8.7,67.3,2.36,22.8,15.9,71.2,47.6,13.3,61.8,63.9,105.5,55.3
"Feb 09, 2024 - BOS vs. WAS",W,48,119.8,117.3,2.5,52.1,1.92,17.2,20.5,86.3,55.8,11.7,58.2,63.7,110.5,54.1
"Feb 11, 2024 - BOS @ MIA",W,48,120.9,116.5,4.4,65.9,2.45,20.9,26.2,64.9,48.5,12.1,60.5,62.2,91,55.3
"Feb 13, 2024 - BOS @ BKN",W,48,122.9,114.6,8.3,72.1,2.21,22.3,28.9,81.8,55.1,14.6,60.8,63.4,96,52.5
"Feb 14, 2024 - BOS vs. BKN",W,48,146.2,90.5,55.7,61.5,3.2,23.2,32.5,82.4,60.4,10.8,69.2,70.6,94,68.9
"Feb 22, 2024 - BOS @ CHI",W,48,129,112,17,60,1.93,20.1,17.1,66.7,44.6,14,68.1,69.9,100,55.6
"Feb 24, 2024 - BOS @ NYK",W,48,138.1,122.9,15.2,58.7,3.86,22,31.6,58.7,46.4,8.3,66,67.2,83.5,59.9
"Feb 27, 2024 - BOS vs. PHI",W,48,119.4,102.1,17.3,53.8,1.5,16.4,27.8,81,60.6,14.3,56.1,64.8,97.5,68.7
"Mar 01, 2024 - BOS vs. DAL",W,48,138,110,28,63.5,3.67,23.1,23.8,77.4,53.7,9,66.5,69.2,100,61.3
"Mar 03, 2024 - BOS vs. GSW",W,48,137.3,86.3,51,66,4.38,24,20.5,76.3,52.4,7.8,68.2,69.4,102,71.3
"Mar 05, 2024 - BOS @ CLE",L,48,108.3,111.7,-3.4,61.5,1.85,17.4,33.3,81.1,57,13.5,50,52.9,95,48.6
"Mar 07, 2024 - BOS @ DEN",L,48,111.2,116.2,-4.9,58.5,2,17.4,29.1,78.3,51.5,12.2,51.1,53.4,98.5,43
"Mar 09, 2024 - BOS @ PHX",W,48,120.6,110.3,10.3,63,2.42,20.4,32.7,71.1,51.1,12.4,56.9,58.7,97,55.7
"Mar 11, 2024 - BOS @ POR",W,48,133,108.8,24.2,69.4,11.33,23.4,37.7,70.8,53.5,3.3,56.5,57.5,91,59.9
"Mar 12, 2024 - BOS @ UTA",W,48,135.2,116.3,18.9,58.1,2.78,18.7,36,73.9,54.2,9.9,57.6,61.3,91.5,55.7
"Mar 14, 2024 - BOS vs. PHX",W,48,132.3,115.5,16.8,66,3.1,23,18.6,54.7,38.5,10.4,66.9,67.7,96.5,56.2
"Mar 17, 2024 - BOS @ WAS",W,48,132.7,104,28.7,69.8,2,20.8,34,69.4,52.1,15.3,63.2,66.6,99,61
"Mar 18, 2024 - BOS vs. DET",W,48,124,98.9,25,69.8,2.73,20.8,34,81.6,56.9,11.5,56.8,59.1,95.5,61.3
"Mar 20, 2024 - BOS vs. MIL",W,48,128.4,124,4.5,62.5,2.78,18.7,28.6,70,47.2,9.5,57.6,62.4,95.5,52.3
"Mar 22, 2024 - BOS @ DET",W,48,131.6,103,28.6,66,4.43,22.1,23.4,71.4,46.1,7.1,61.8,63.9,98.5,61.3
"Mar 23, 2024 - BOS @ CHI",W,48,137.8,125.6,12.2,63.6,2.33,21.1,37.2,85.7,59,13.3,63.4,66.3,90,50.9
"Mar 25, 2024 - BOS @ ATL",L,48,125.5,126.3,-0.8,44.7,2.33,15.8,35.3,63.6,48.4,9.6,55.3,57.1,94.5,47.5
"Mar 28, 2024 - BOS @ ATL",L,53,119.6,119.4,0.2,62.2,2.33,19.7,24,64.3,45.3,11.8,55.3,59.1,92.83,51.2
"Mar 30, 2024 - BOS @ NOP",W,48,111.8,100,11.8,69.2,2.08,20.6,25.6,80.7,57,14,56.7,59.6,92.5,59.5
"Apr 01, 2024 - BOS @ CHA",W,48,126.9,110.6,16.2,65.1,2.55,20.7,29.2,82.4,56.6,11.8,59,61.4,93.5,55.3
"Apr 03, 2024 - BOS vs. OKC",W,48,137.8,102,35.7,66,3,22.4,38.1,75,57.8,11.2,63.6,67.3,98,63.3
"Apr 05, 2024 - BOS vs. SAC",W,48,108.6,105.3,3.3,65.8,3.13,19.1,25,66.7,47.8,8.6,49.4,52.1,94,55.3
"Apr 07, 2024 - BOS vs. POR",W,48,124,107,17,69.4,2.62,24.3,17.5,59.7,43.1,13,65.5,66.9,100,60.3
"Apr 09, 2024 - BOS @ MIL",L,48,101.1,115.6,-14.4,73,2.25,20.3,28.6,69.2,45.3,13.3,48.9,48.9,90,41.1
"Apr 11, 2024 - BOS vs. NYK",L,48,113.5,121.6,-8.1,62.5,2.08,19.1,20.8,54.9,38.4,12.5,55.8,58.6,96.5,47.1
"Apr 12, 2024 - BOS vs. CHA",W,48,129.7,98,31.7,63,5.67,22.2,35.3,87.2,60.2,5.9,58.7,59.7,100.5,66
"Apr 14, 2024 - BOS vs. WAS",W,48,124.5,116.2,8.3,56.9,1.71,19.7,28.6,74.1,54.2,16,66.3,67.2,105.5,55.8
