Match Up,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,"AST
Ratio",OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
"Oct 25, 2023 - NYK vs. BOS",L,48,107.2,112.5,-5.3,66.7,2.18,16.6,36.4,82.9,54.2,11.3,46.4,48,96.5,40.8
"Oct 27, 2023 - NYK @ ATL",W,48,118.9,111.1,7.8,69.8,1.88,19.9,29.4,74.5,51,15.1,58.9,61.6,107,50.5
"Oct 28, 2023 - NYK @ NOP",L,48,87,95,-8,57.6,1,13.9,32.2,84.6,56.8,19,40.6,44.4,100.5,47.2
"Oct 31, 2023 - NYK @ CLE",W,48,112.4,94.8,17.6,47.4,1.29,13.7,34,70.7,53.7,14.4,51.7,56.2,96.5,59.2
"Nov 01, 2023 - NYK vs. CLE",L,48,92.7,97.9,-5.2,56.3,1.29,13.1,34.8,83.7,54.1,14.6,37.5,42.3,96.5,42.6
"Nov 03, 2023 - NYK @ MIL",L,48,104,110,-6,47.4,1.64,13,31.7,82,54.5,10.9,44.8,49.1,100.5,45.1
"Nov 06, 2023 - NYK vs. LAC",W,48,115.6,100,15.6,68.3,1.4,19.3,44.7,78.9,60,20.8,53.4,57.9,96.5,58.3
"Nov 08, 2023 - NYK vs. SAS",W,48,128.6,107.1,21.4,60.9,7,19.4,32.7,75.5,52.9,4.1,55.5,57.4,98,56.1
"Nov 12, 2023 - NYK vs. CHA",W,48,138.7,113.8,24.9,53.2,2.78,18.9,32.6,64.2,50,9.7,62.6,64.4,93.5,62.7
"Nov 13, 2023 - NYK @ BOS",L,48,115.3,129.5,-14.3,51.5,1.42,14.3,35.4,71.8,51.7,14.1,51.3,54.7,86.5,40.2
"Nov 15, 2023 - NYK @ ATL",W,48,120.8,120,0.8,64.4,1.71,19.7,44.9,81.6,60.9,17.7,56.4,58.7,95.5,48.8
"Nov 17, 2023 - NYK @ WAS",W,48,127.7,106.5,21.2,57.8,2.36,18.8,37.5,76.1,56.4,11.7,58.2,60.1,93.5,58
"Nov 18, 2023 - NYK @ CHA",W,48,127.1,112.5,14.6,58.7,2.25,19.6,30.6,83.7,55.4,12.5,59.3,61.4,96,55.4
"Nov 20, 2023 - NYK @ MIN",L,48,100,118.2,-18.2,50,1.6,11.8,32.8,79.5,52.4,10,39.7,46.7,99.5,37.6
"Nov 24, 2023 - NYK vs. MIA",W,48,102,99,3.1,53.8,1.11,16.4,20,79.2,52,19.4,54.3,56.2,98.5,52.9
"Nov 26, 2023 - NYK vs. PHX",L,48,124.2,127.5,-3.3,46.2,2.57,14.1,38.5,51,44.7,7.7,52.3,56.5,91,47.7
"Nov 28, 2023 - NYK vs. CHA",W,48,119.8,95.8,24,51.2,1.31,15.4,38.8,72.2,56.3,16.7,55.1,59.4,95.5,63.1
"Nov 30, 2023 - NYK vs. DET",W,48,119.2,113.1,6.1,61,2.27,18.1,29.4,75.6,50,11.1,55.7,58.8,99,54.1
"Dec 01, 2023 - NYK @ TOR",W,48,122.7,109.3,13.4,66.7,2.31,21.3,30.4,58.3,46.2,13.4,58.9,61.3,97,55.5
"Dec 05, 2023 - NYK @ MIL",L,48,119.6,143.1,-23.5,62.8,1.59,18.4,38.3,68.4,51.8,16.7,53.4,60.1,102,42.1
"Dec 08, 2023 - NYK @ BOS",L,48,125.5,134.3,-8.8,63.6,2,19.6,37.8,77.3,57.3,14.3,58.5,61.6,98.5,46.8
"Dec 11, 2023 - NYK vs. TOR",W,48,136,131.3,4.7,69.2,2.4,23.8,38.5,60.4,51.1,15,70.3,70.7,99.5,53.8
"Dec 13, 2023 - NYK @ UTA",L,48,109.7,113.6,-3.9,51.2,1.91,14.8,30,62.1,45.8,10.7,48.4,52.3,103,48.3
"Dec 15, 2023 - NYK @ PHX",W,48,143.3,124.5,18.8,57.1,2.55,20.9,25,69.8,49.4,11.3,70.1,73.7,97.5,56.8
"Dec 16, 2023 - NYK @ LAC",L,48,120.8,141.2,-20.4,45.5,2,14.7,28.8,71.8,47.3,9.9,52.7,57.9,101.5,39
"Dec 18, 2023 - NYK @ LAL",W,48,111.8,106.9,4.9,50,1.31,15.6,25,78.9,54.3,15.7,53.4,58.1,102,52
"Dec 20, 2023 - NYK @ BKN",W,48,121,102,19,54.5,2.18,16.8,35.2,68.7,53.7,11,53.2,57.1,100,60.8
"Dec 23, 2023 - NYK vs. MIL",L,48,107.8,126.2,-18.4,41.5,1.55,13,21.2,71.1,44.3,10.7,48.9,54.3,103,40.4
"Dec 25, 2023 - NYK vs. MIL",W,48,129,122,7,54,2.25,19,34.8,64.2,50.5,12,58.7,62.4,100,54.8
"Dec 27, 2023 - NYK @ OKC",L,48,120,127.7,-7.7,58.5,1.33,17.4,34.1,85.7,59.3,18,58.5,63,100.5,45.7
"Dec 29, 2023 - NYK @ ORL",L,48,103.8,111.4,-7.6,57.9,1.38,16.1,22.4,64.8,44.7,15.4,47.7,54.7,104.5,44
"Dec 30, 2023 - NYK @ IND",L,48,124.8,137.3,-12.5,53.3,1.71,16.7,40,76.3,55.7,13.9,56.3,58.9,101.5,42
"Jan 01, 2024 - NYK vs. MIN",W,48,115.5,110.4,5,59,1.53,16.3,39.6,81,57.9,15.5,50.6,55.3,96.5,52
"Jan 03, 2024 - NYK vs. CHI",W,48,120.8,105.3,15.6,63,1.81,20.6,35.6,75.9,57.6,16.7,60.1,61.8,95.5,58.4
"Jan 05, 2024 - NYK @ PHI",W,48,128,92,36,62.8,2.08,19,32.6,80.4,57.7,13,58.4,64,100,63.4
"Jan 06, 2024 - NYK @ WAS",W,48,118.6,105,13.6,62.8,1.93,19.1,26.1,73.5,50.5,13.7,57.5,62,101,57.1
"Jan 09, 2024 - NYK vs. POR",W,48,116.7,88.4,28.2,70.3,1.73,18.3,37.7,75,56.9,15.6,51.7,56.5,95.5,65
"Jan 11, 2024 - NYK @ DAL",L,48,125.3,128,-2.7,61.4,1.69,18.9,37.5,72.3,54.7,16.2,57.3,61.2,99.5,48
"Jan 13, 2024 - NYK @ MEM",W,48,108.2,94.9,13.2,62.5,1.09,17.9,39.1,80.4,60.8,23.5,56,58,98.5,55.5
"Jan 15, 2024 - NYK vs. ORL",L,48,106.8,114,-7.1,60.6,2,15.9,34,68,50.5,11.4,47.6,50.7,87,43.7
"Jan 17, 2024 - NYK vs. HOU",W,48,114.7,98.9,15.8,61.5,1.6,17.6,34,82,58,15.8,52.3,56.4,95,54.7
"Jan 18, 2024 - NYK vs. WAS",W,48,109.7,104.8,4.9,56.4,1.29,16.2,22,80.8,52,16.5,52.9,58,103.5,49.6
"Jan 20, 2024 - NYK vs. TOR",W,48,123.5,98,25.5,56.3,1.23,18.5,45,80,66,21.6,62.5,65.1,102,63.1
"Jan 23, 2024 - NYK @ BKN",W,48,116.1,112,4.2,52.5,1.5,16.3,38.3,66,53,15.1,52.3,57.2,92.5,53.8
"Jan 25, 2024 - NYK vs. DEN",W,48,132.6,91.3,41.3,57.8,2.6,20,27.9,64,47.3,10.9,61.8,65,92,72.8
"Jan 27, 2024 - NYK vs. MIA",W,48,133,116,17,55.6,3.57,19.1,28.9,78,54.7,7.4,61.5,63.5,94,55.5
"Jan 29, 2024 - NYK @ CHA",W,48,124.2,101.1,23.1,56.8,2.78,20.2,19,76.6,49.4,9.9,59.5,62.1,91,59.1
"Jan 30, 2024 - NYK vs. UTA",W,48,131.1,112,19.2,65.9,4.83,21.3,33.3,66,49.5,6.7,53.7,57.9,91,59.4
"Feb 01, 2024 - NYK vs. IND",W,48,110.1,106.1,4,36.6,1.5,10.6,41.5,73.6,55.9,10.1,43.7,47.8,99,51.8
"Feb 03, 2024 - NYK vs. LAL",L,48,112.9,121.5,-8.6,51.2,3,15.6,35,85.7,55.9,7.5,46,49.2,93,40.7
"Feb 06, 2024 - NYK vs. MEM",W,48,128.1,118.9,9.2,58.3,2.8,20.9,25.6,71.4,49.4,10.4,62.2,64.9,95.5,56
"Feb 08, 2024 - NYK vs. DAL",L,48,113.7,127.1,-13.4,64.3,1.93,19.4,32.1,82.9,54.3,14.7,52.1,54.6,95.5,41.4
"Feb 10, 2024 - NYK vs. IND",L,48,111,127.6,-16.6,40,1.78,13.1,15.6,78.4,43.9,9,53.6,59,99,43.8
"Feb 12, 2024 - NYK @ HOU",L,48,112,112.9,-0.9,45.2,1.12,14.3,41.5,69.4,54.9,18.5,52.2,52.9,92.5,44.9
"Feb 14, 2024 - NYK @ ORL",L,48,117.6,137.2,-19.6,42.9,1.25,12.4,41.2,67.9,50.6,14.1,48.2,52.9,85.5,37.3
"Feb 22, 2024 - NYK @ PHI",W,48,113.4,99,14.4,63.2,1.33,17.9,28.9,75,52.7,18.6,57.6,60.5,97,59.8
"Feb 24, 2024 - NYK vs. BOS",L,48,122.9,138.1,-15.2,56.8,1.5,17.1,41.3,68.4,53.6,16.9,53,57.3,83.5,40.1
"Feb 26, 2024 - NYK vs. DET",W,48,117.7,116.8,0.9,75.6,2.21,20.9,37.5,70.5,52,14.6,52.7,55.8,95.5,49.6
"Feb 27, 2024 - NYK vs. NOP",L,48,101.1,125,-23.9,87.1,2.08,20,31.5,70,47.9,14.3,45.8,49.4,91.5,38.8
"Feb 29, 2024 - NYK vs. GSW",L,48,101,111.1,-10.1,65.7,1.77,16.2,33.3,70,51.2,13.3,43.2,46.9,98.5,45.5
"Mar 03, 2024 - NYK @ CLE",W,48,117.6,107.7,9.9,76.2,2.67,23.7,28.9,76.5,54.2,13.2,58.1,59.2,91,55.5
"Mar 05, 2024 - NYK vs. ATL",L,48,105.3,122.1,-16.8,71.1,2.25,19,33.9,57.8,43.9,12.6,46.5,48.2,95,39
"Mar 08, 2024 - NYK vs. ORL",W,48,115.3,85.1,30.2,52.6,1.25,16.9,31,68.5,52.1,18.8,58.2,59.4,86,67.7
"Mar 10, 2024 - NYK vs. PHI",L,48,83.9,89.8,-5.9,73.1,0.9,15.1,38.2,68.6,52.8,24.1,38.1,41.9,87.5,45.7
"Mar 12, 2024 - NYK vs. PHI",W,48,121.8,89.8,32.1,80,2.46,24.2,31.7,81.5,60,14.9,59.5,61.9,87.5,69.3
"Mar 14, 2024 - NYK @ POR",W,48,109.4,96.9,12.5,42.1,1.07,12.6,34,70.6,52.5,15.6,47.1,53.3,96,55.4
"Mar 16, 2024 - NYK @ SAC",W,48,102.1,94.8,7.3,51.4,1.19,14.7,27.5,76.3,53.6,16.7,49.4,52.7,96,56.6
"Mar 18, 2024 - NYK @ GSW",W,48,124,117.9,6.1,65.9,2.23,20.1,38.8,68.1,53.1,13.5,56,59.6,95.5,51.6
"Mar 21, 2024 - NYK @ DEN",L,48,111.1,124.2,-13.1,73.7,2.8,22.2,18.6,65.9,41.7,11.1,55.1,57.8,90.5,43.2
"Mar 23, 2024 - NYK vs. BKN",W,48,114.1,103.3,10.8,59.5,2.5,17.9,38.3,81.4,56.3,10.9,51,51.3,91,51.4
"Mar 25, 2024 - NYK vs. DET",W,48,124,98,26,66.7,2.14,20.8,29.2,77.8,54.9,14,61.2,62.8,100.5,62.4
"Mar 27, 2024 - NYK @ TOR",W,48,155.9,108.6,47.3,67.3,3.36,24.7,50,66.7,58.8,11.8,70.2,71.8,93,65.6
"Mar 29, 2024 - NYK @ SAS",L,53,117.8,122.6,-4.9,47.1,2,15.9,35,78.6,52.9,11.2,52.7,54.6,96.45,43.6
"Mar 31, 2024 - NYK vs. OKC",L,48,115.5,116.5,-1,63.2,2.18,17,37.9,72.7,52.9,11.3,48.4,52.4,97,46
"Apr 02, 2024 - NYK @ MIA",L,48,107.6,117.2,-9.6,71.4,1.79,19.8,20.5,71.1,43.9,15.2,53.9,58.1,92.5,46
"Apr 04, 2024 - NYK vs. SAC",W,48,127.7,114.7,12.9,77.3,2.62,24.5,27.5,70.2,50.6,13.8,62.5,64.7,94.5,58.6
"Apr 05, 2024 - NYK @ CHI",L,48,102,108,-6,61.1,1.22,16.5,25,60.8,42.7,18.4,49.4,53.4,99,42.4
"Apr 07, 2024 - NYK @ MIL",W,48,132.6,117.2,15.4,55.6,3.57,18.8,33.3,73.8,52.2,7.6,56.5,60,92.5,52.9
"Apr 09, 2024 - NYK @ CHI",W,48,134.7,121.9,12.9,67.4,2.82,23,24.3,69.8,48.8,11.6,65.7,69.7,95.5,56.1
"Apr 11, 2024 - NYK @ BOS",W,48,121.6,113.5,8.1,49,1.6,16.8,45.1,79.2,61.6,15.5,56.6,57.1,96.5,52.9
"Apr 12, 2024 - NYK vs. BKN",W,48,123.3,120.2,3.1,55.3,4.2,17.1,28.3,59.5,43.2,5.6,54.2,59,89.5,52.5
"Apr 14, 2024 - NYK vs. CHI",W,53,114.3,114.4,-0.1,58.7,1.29,18,39.6,70.4,55.9,20,57.1,59.9,94.64,51.1
