Match Up,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,"AST
Ratio",OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
"Oct 25, 2023 - DAL @ SAS",W,48,117.8,111.2,6.5,51.1,2,16.6,28.3,74.5,50,11.2,55.1,57.7,107,49.3
"Oct 27, 2023 - DAL vs. BKN",W,48,123.8,117.6,6.1,45.5,2.22,15,24,72.3,47.4,8.9,56.6,60.5,101.5,50.7
"Oct 30, 2023 - DAL @ MEM",W,48,122.5,106.8,15.8,57.1,1.6,17.8,19.6,78.6,52,14.7,63.7,66.1,102.5,57.4
"Nov 01, 2023 - DAL vs. CHI",W,48,120,110.5,9.5,62.2,1.53,17.2,33.3,70.8,52.1,15.8,58,61.1,95,54.4
"Nov 03, 2023 - DAL @ DEN",L,48,115.2,128.9,-13.7,65.9,1.8,19.7,24.4,52.1,38.7,15.2,57.6,61,98,44.9
"Nov 05, 2023 - DAL vs. CHA",W,48,120.4,113.5,6.9,72.1,2.82,20.9,26.4,69.1,48.1,10.7,54.9,59,103.5,54.3
"Nov 06, 2023 - DAL @ ORL",W,48,118.2,103,15.2,51.2,1.4,16.4,19.6,66.7,42.9,15.2,59.1,62,99,54.8
"Nov 08, 2023 - DAL vs. TOR",L,48,109.4,122.1,-12.7,62.5,1.56,17.6,22.4,65.5,45.2,15.1,57.7,59.4,105,44.4
"Nov 10, 2023 - DAL vs. LAC",W,48,145.5,128.6,16.9,58.8,3.33,20.4,39.6,57.4,48.4,9.1,61.7,65.8,98.5,56.5
"Nov 12, 2023 - DAL @ NOP",W,48,125.9,114.8,11.1,58,4.83,19.7,18.5,71.4,43.7,5.6,58.8,61.1,108,53.5
"Nov 14, 2023 - DAL @ NOP",L,48,102.8,126,-23.2,65.8,1.25,16.7,35.2,71.4,52.4,18.7,50,54.2,105.5,38.2
"Nov 15, 2023 - DAL @ WAS",W,48,126.2,112.5,13.7,66.7,3.2,21.9,21.6,79.6,50,9.7,61.4,62,103.5,55.3
"Nov 18, 2023 - DAL @ MIL",L,48,120.2,126.9,-6.7,52.9,2.25,18.6,25.9,84.8,53,11.5,57.3,58.2,104,45.3
"Nov 19, 2023 - DAL vs. SAC",L,48,114.1,134.4,-20.2,56.1,2.3,16.8,29.4,66.7,46.9,10.1,53.4,56.8,97.5,42.8
"Nov 22, 2023 - DAL @ LAL",W,48,109.5,104.1,5.3,55.3,5.25,16.3,21.7,76,46.4,4.2,47.9,50.5,96,49.2
