Match Up,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,"AST
Ratio",OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
"Oct 24, 2023 - DEN vs. LAL",W,48,125.3,111.5,13.8,60.4,2.42,21.2,28.9,65.4,48.5,12.6,60.4,61.8,95.5,57.9
"Oct 27, 2023 - DEN @ MEM",W,48,104.9,101,3.9,65.9,1.42,18.9,27.5,69.4,48,18.4,54.5,56.3,103,52
"Oct 29, 2023 - DEN @ OKC",W,48,134.7,97.9,36.8,64.2,2.62,24.1,33.3,73.6,57.3,13.7,66.5,68.3,96,66.6
"Oct 30, 2023 - DEN vs. UTA",W,48,112.2,104.1,8.2,68.1,2.46,23.2,19,64.4,45.5,13.3,61.3,60.1,98,58
"Nov 01, 2023 - DEN @ MIN",L,48,89.9,112.2,-22.3,60.5,1.44,16.4,30.5,73.9,49.5,16.2,42.7,44.3,98.5,35.8
"Nov 03, 2023 - DEN vs. DAL",W,48,128.9,115.2,13.7,67.3,1.65,21.6,47.9,75.6,61.3,20.6,59.7,61.7,98,55.1
"Nov 04, 2023 - DEN vs. CHI",W,48,125.5,103.1,22.4,73.8,2.58,22.1,26.2,79.6,54.9,12.2,61.7,65.3,98,60.9
"Nov 06, 2023 - DEN vs. NOP",W,48,134,114.9,19.1,72.5,3.7,24.5,30.4,76.1,53.3,10,61.6,63.7,100.5,58.1
"Nov 08, 2023 - DEN vs. GSW",W,48,111.3,108.2,3.1,58.5,4,17.8,25.9,76.5,50.5,6.2,50.5,53.1,97,51.7
"Nov 12, 2023 - DEN @ HOU",L,48,110.6,113.8,-3.2,57.1,2.18,18.2,32,69.8,51.5,11.7,51.1,53.5,94,49.9
"Nov 14, 2023 - DEN vs. LAC",W,48,118.1,113.7,4.4,66.7,1.86,20.2,24.3,68,49.4,14.9,58.9,63.7,94.5,53.6
"Nov 17, 2023 - DEN @ NOP",L,48,111.1,113.9,-2.8,78.7,2.85,24.8,24.5,82.4,52.9,13.1,54.2,54.3,100,47.9
"Nov 19, 2023 - DEN @ CLE",L,48,112.4,124.7,-12.4,59,1.77,17.6,23.4,70,44.8,13.4,56.1,59.2,97,40.8
"Nov 20, 2023 - DEN @ DET",W,48,108.1,106.2,1.9,75,2.14,21.3,26,73.3,48.4,14.1,52.3,55.6,98,55.6
"Nov 22, 2023 - DEN @ ORL",L,48,124,130.5,-6.6,65.9,2.42,20.1,42.3,65.8,52.2,12.5,55.4,58.2,95.5,43.8
"Nov 24, 2023 - DEN @ HOU",L,48,88.7,106.1,-17.4,53.1,1.13,12.7,30.3,81,50,15.5,37.8,41.7,98,32.8
"Nov 26, 2023 - DEN vs. SAS",W,48,125.7,114.3,11.4,76,1.9,24.1,34.9,73.1,55.8,19,62.9,66,105,55.3
"Nov 27, 2023 - DEN @ LAC",W,48,115.3,106.1,9.2,63.6,2.55,19.2,35.7,67.9,51.4,11.2,53.3,54.2,98,55.3
"Nov 29, 2023 - DEN vs. HOU",W,48,147.3,136.3,11,77.1,9.25,24.7,44,67.4,54.8,4.4,60.5,62.9,91,54
"Dec 01, 2023 - DEN @ PHX",W,48,124,114.4,9.5,76,4.22,27.1,14.6,68.9,43,9.4,63.6,63.8,96.5,54.3
"Dec 02, 2023 - DEN @ SAC",L,48,109.3,115,-5.6,71.4,3.18,22.9,24.1,79.2,51.4,10.3,52.5,54.3,107,49.3
"Dec 06, 2023 - DEN @ LAC",L,48,106.3,114.4,-8.2,70.7,2.64,20.3,31.6,67.3,48.1,11.5,48,50,96.5,45.1
"Dec 08, 2023 - DEN vs. HOU",L,48,111.6,117.5,-5.9,57.9,2.2,16.5,28.6,70,48.1,10.5,47.8,52,96,47
"Dec 11, 2023 - DEN @ ATL",W,48,130.3,123.2,7.1,61.7,1.81,20,41.5,67.9,56.4,16.2,60.2,64,99,56.3
"Dec 12, 2023 - DEN @ CHI",W,48,122.6,112.8,9.8,71.8,2.55,20.3,34.7,62.7,49,11.8,55.4,58.7,93.5,53
"Dec 14, 2023 - DEN vs. BKN",W,48,120.4,99,21.4,66,3.44,20.5,31.5,67.2,50,8.7,53.5,57.3,102.5,62.6
"Dec 16, 2023 - DEN vs. OKC",L,48,118.2,120.4,-2.2,71.4,3.33,20.5,32.7,72.7,51,9.1,51.6,56.5,98.5,49.3
