Match Up,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,"AST
Ratio",OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
"Oct 25, 2023 - OKC @ CHI",W,48,124,105.1,18.9,66.7,1.88,22.1,21.1,69.6,50,16,66.5,69,99.5,58.9
"Oct 27, 2023 - OKC @ CLE",W,48,102.9,100,2.9,55,1.22,16.2,18.4,78.9,50.9,17.1,53.4,56.6,105,52.1
"Oct 29, 2023 - OKC vs. DEN",L,48,97.9,134.7,-36.8,59.5,2.2,16.5,26.4,66.7,42.7,10.3,44.4,48.5,96,33.4
"Oct 30, 2023 - OKC vs. DET",W,48,119.2,108.7,10.5,47.7,1.4,15.7,22.5,71.4,51,14.4,60.8,65,103.5,58.4
"Nov 01, 2023 - OKC vs. NOP",L,48,101.9,105.8,-3.8,60.5,1.53,16.7,21.6,65.2,46.7,14.4,47.2,53.5,104,52
"Nov 03, 2023 - OKC vs. GSW",L,48,132.4,133,-0.6,52,1.37,18.4,28.6,60.9,46.9,18.1,69.3,72.2,105.5,47.7
"Nov 06, 2023 - OKC vs. ATL",W,48,118.9,109.3,9.5,60,2.08,18.6,24,59.7,44.4,12.3,55.3,60.5,106.5,55
"Nov 08, 2023 - OKC vs. CLE",W,48,123.1,115.4,7.7,52.3,1.64,16.5,27.9,65.2,47.2,13.5,58.1,64.5,104,54
"Nov 10, 2023 - OKC @ SAC",L,48,99,105,-6,56.4,1.38,16.7,22.4,61.8,43.3,16.2,48.9,52.1,99.5,47.6
"Nov 12, 2023 - OKC @ PHX",W,48,115.6,103.1,12.5,57.5,2.56,18.3,18.2,61.1,41.8,9.4,54.9,59.7,96,56.6
"Nov 14, 2023 - OKC vs. SAS",W,48,116,82.1,34,73.9,2.13,22.8,20.5,67.8,47.6,15.1,60.1,62.9,106,69.7
"Nov 16, 2023 - OKC @ GSW",W,48,128,110.1,17.9,70.5,2.38,21.5,30.2,60.7,48.1,13,61.5,65.9,99.5,60.6
"Nov 18, 2023 - OKC @ GSW",W,53,117.1,109.8,7.3,50,2.17,17.4,24.5,72.2,49.5,10.8,56,59.7,100.98,53.4
"Nov 19, 2023 - OKC @ POR",W,48,141.1,95.8,45.3,57.1,1.56,20.9,37.5,64.8,54.7,18.9,74.1,76.9,95,71.8
"Nov 22, 2023 - OKC vs. CHI",W,48,123.4,107.4,16,64.9,1.71,18.3,31.7,72.2,54.7,14.9,56.7,63.2,94.5,61
"Nov 25, 2023 - OKC vs. PHI",L,48,126.8,129.6,-2.8,67.4,7.25,20.1,32.1,54.2,42.3,4.1,52,56.2,97.5,46.4
"Nov 28, 2023 - OKC @ MIN",L,48,103,106,-3,59.5,2.2,16.4,21.8,66.7,42.7,10,47.2,51.4,100,45.8
"Nov 30, 2023 - OKC vs. LAL",W,48,127.9,104.8,23.1,58,3.22,20.4,20,85.1,53.3,8.7,60.6,64.1,104.5,59.4
"Dec 02, 2023 - OKC @ DAL",W,48,122.3,115.4,6.9,54.5,1.85,16.2,36.2,67.3,51.3,12.6,54,57.4,103.5,51.5
"Dec 06, 2023 - OKC @ HOU",L,48,103.1,111.1,-8,59.5,2.44,17.2,15.4,64.4,38.1,9.2,47.1,51.8,98.5,44.2
"Dec 08, 2023 - OKC vs. GSW",W,53,120,119.3,0.7,29.4,1.36,10.6,24,50,38,9.6,54.6,60.6,103.7,54.7
"Dec 11, 2023 - OKC vs. UTA",W,48,127.6,113.2,14.4,70,2.92,23.2,23.4,72.9,48.4,11.4,61.5,64.7,105.5,55.1
"Dec 14, 2023 - OKC @ SAC",L,48,112.8,118.5,-5.7,59.1,1.86,16.8,35.6,69.4,50.9,12.8,48.5,54,108.5,45.1
"Dec 16, 2023 - OKC @ DEN",W,48,120.4,118.2,2.2,51.2,2,16.7,27.3,67.3,49,11.2,55.4,60.7,98.5,50.7
"Dec 18, 2023 - OKC vs. MEM",W,48,109.4,91.5,17.9,73.8,2.58,20.9,21.2,78.6,50.9,11.3,51.6,56.8,106,64.2
"Dec 21, 2023 - OKC vs. LAC",W,48,134,112.7,21.3,68.6,2.92,24.6,18.4,69.4,47.1,12,67.8,70.6,101,61.1
